year,求和项:30-Year MA,求和项:10-Year MA,求和项:80-Year MA
1840,,,
1841,,,
1842,,,
1843,,,
1844,,,
1845,,,
1846,,,
1847,,,
1848,,,
1849,,21.042,
1850,,21.065,
1851,,21.096,
1852,,21.108,
1853,,21.161,
1854,,21.239,
1855,,21.264,
1856,,21.178,
1857,,21.183,
1858,,21.213,
1859,,21.238,
1860,,21.245,
1861,,21.214,
1862,,21.126,
1863,,21.036,
1864,,20.946,
1865,,21.002,
1866,,21.069,
1867,,21.114,
1868,,21.188,
1869,21.16433333,21.213,
1870,21.18933333,21.258,
1871,21.206,21.308,
1872,21.22333333,21.436,
1873,21.22433333,21.476,
1874,21.24766667,21.558,
1875,21.26866667,21.54,
1876,21.25233333,21.51,
1877,21.26633333,21.502,
1878,21.294,21.481,
1879,21.315,21.494,
1880,21.30366667,21.408,
1881,21.301,21.381,
1882,21.29533333,21.324,
1883,21.26166667,21.273,
1884,21.22066667,21.158,
1885,21.20666667,21.078,
1886,21.21033333,21.052,
1887,21.208,21.008,
1888,21.22433333,21.004,
1889,21.228,20.977,
1890,21.23633333,21.043,
1891,21.251,21.064,
1892,21.26833333,21.045,
1893,21.26233333,21.038,
1894,21.28033333,21.125,
1895,21.26533333,21.178,
1896,21.26766667,21.241,
1897,21.26066667,21.272,
1898,21.25166667,21.27,
1899,21.24233333,21.256,
1900,21.22533333,21.225,
1901,21.21933333,21.213,
1902,21.23233333,21.328,
1903,21.22733333,21.371,
1904,21.21766667,21.37,
1905,21.205,21.359,
1906,21.21966667,21.366,
1907,21.217,21.371,
1908,21.207,21.347,
1909,21.20566667,21.384,
1910,21.22,21.392,
1911,21.22533333,21.399,
1912,21.23233333,21.324,
1913,21.24666667,21.331,
1914,21.30266667,21.413,
1915,21.34466667,21.497,
1916,21.362,21.479,
1917,21.356,21.425,
1918,21.344,21.415,
1919,21.354,21.422,21.25325
1920,21.35233333,21.44,21.2595
1921,21.357,21.459,21.26675
1922,21.384,21.5,21.273875
1923,21.42666667,21.578,21.283
1924,21.442,21.543,21.294
1925,21.444,21.476,21.29925
1926,21.448,21.499,21.29925
1927,21.45166667,21.559,21.30425
1928,21.46533333,21.634,21.319
1929,21.48466667,21.648,21.329
1930,21.49533333,21.654,21.333125
1931,21.502,21.648,21.33575
1932,21.48033333,21.617,21.3375
1933,21.49766667,21.584,21.335875
1934,21.49433333,21.527,21.33
1935,21.51633333,21.576,21.33825
1936,21.51,21.552,21.346
1937,21.53033333,21.607,21.35725
1938,21.557,21.622,21.370125
1939,21.562,21.616,21.37625
1940,21.58933333,21.674,21.38675
1941,21.61366667,21.734,21.40075
1942,21.64433333,21.816,21.42375
1943,21.67766667,21.871,21.44025
1944,21.66933333,21.938,21.454
1945,21.663,21.937,21.455125
1946,21.71566667,22.096,21.474375
1947,21.74266667,22.062,21.47575
1948,21.77666667,22.074,21.480875
1949,21.796,22.124,21.490125
1950,21.81766667,22.125,21.495125
1951,21.82166667,22.083,21.497625
1952,21.83933333,22.085,21.504875
1953,21.843,22.074,21.515
1954,21.847,22.076,21.51875
1955,21.867,22.088,21.523625
1956,21.875,21.977,21.53275
1957,21.87933333,21.969,21.534125
1958,21.88066667,21.946,21.539
1959,21.88766667,21.923,21.54375
1960,21.906,21.919,21.559
1961,21.92066667,21.945,21.568125
1962,21.93066667,21.891,21.57575
1963,21.948,21.899,21.59325
1964,21.97333333,21.906,21.61225
1965,21.983,21.924,21.629375
1966,22.02433333,22,21.65125
1967,22.008,21.993,21.65725
1968,22.00266667,21.988,21.662
1969,21.99133333,21.927,21.6625
1970,21.97133333,21.87,21.662375
1971,21.95533333,21.838,21.664875
1972,21.94066667,21.846,21.675875
1973,21.94166667,21.852,21.695
1974,21.93766667,21.831,21.7005
1975,21.941,21.811,21.7085
1976,21.89166667,21.698,21.708375
1977,21.90833333,21.763,21.718625
1978,21.899,21.763,21.723625
1979,21.88933333,21.818,21.73275
1980,21.88966667,21.88,21.74425
1981,21.901,21.92,21.75325
1982,21.88966667,21.932,21.751375
1983,21.87666667,21.879,21.7585
1984,21.854,21.825,21.757375
1985,21.844,21.797,21.76325
1986,21.85466667,21.866,21.770875
1987,21.887,21.905,21.785375
1988,21.87533333,21.875,21.789625
1989,21.87733333,21.887,21.795625
1990,21.88833333,21.915,21.809625
1991,21.896,21.93,21.819625
1992,21.88833333,21.887,21.82175
1993,21.86833333,21.874,21.826375
1994,21.87133333,21.958,21.8255
1995,21.85233333,21.949,21.81975
1996,21.82166667,21.901,21.823625
1997,21.83266667,21.83,21.836
1998,21.85666667,21.932,21.85425
1999,21.88666667,21.955,21.86225
2000,21.90566667,21.922,21.869875
2001,21.921,21.913,21.876375
2002,21.941,22.004,21.88475
2003,21.949,22.094,21.890875
2004,21.96433333,22.11,21.896375
2005,21.97166667,22.169,21.906375
2006,22.01033333,22.264,21.91925
2007,22.02233333,22.332,21.932625
2008,22.01766667,22.246,21.93075
2009,22.03233333,22.255,21.938125
2010,22.02766667,22.246,21.943875
2011,22.015,22.202,21.945625
2012,22.016,22.157,21.95225
2013,22.057,22.203,21.96825
总计,3132.935333,3565.636,2053.3125
