year,avg_temp,30-Year MA,10-Year MA,80-Year MA
1750,8.72,,,
1751,7.98,,,
1752,5.78,,,
1753,8.39,,,
1754,8.47,,,
1755,8.36,,,
1756,8.85,,,
1757,9.02,,,
1758,6.74,,,
1759,7.99,,8.03,
1760,7.19,,7.877,
1761,8.77,,7.956,
1762,8.61,,8.239,
1763,7.5,,8.15,
1764,8.4,,8.143,
1765,8.25,,8.132,
1766,8.41,,8.088,
1767,8.22,,8.008,
1768,6.78,,8.012,
1769,7.69,,7.982,
1770,7.69,,8.032,
1771,7.85,,7.94,
1772,8.19,,7.898,
1773,8.22,,7.97,
1774,8.77,,8.007,
1775,9.18,,8.1,
1776,8.3,,8.089,
1777,8.26,,8.093,
1778,8.54,,8.269,
1779,8.98,8.136666667,8.398,
1780,9.43,8.160333333,8.572,
1781,8.1,8.164333333,8.597,
1782,7.9,8.235,8.568,
1783,7.68,8.211333333,8.514,
1784,7.86,8.191,8.423,
1785,7.36,8.157666667,8.241,
1786,8.26,8.138,8.237,
1787,8.03,8.105,8.214,
1788,8.45,8.162,8.205,
1789,8.33,8.173333333,8.14,
1790,7.98,8.199666667,7.995,
1791,8.23,8.181666667,8.008,
1792,8.09,8.164333333,8.027,
1793,8.23,8.188666667,8.082,
1794,8.53,8.193,8.149,
1795,8.35,8.196333333,8.248,
1796,8.27,8.191666667,8.249,
1797,8.51,8.201333333,8.297,
1798,8.67,8.264333333,8.319,
1799,8.51,8.291666667,8.337,
1800,8.48,8.318,8.387,
1801,8.59,8.342666667,8.423,
1802,8.58,8.355666667,8.472,
1803,8.5,8.365,8.499,
1804,8.84,8.367333333,8.53,
1805,8.56,8.346666667,8.551,
1806,8.43,8.351,8.567,
1807,8.28,8.351666667,8.544,
1808,7.63,8.321333333,8.44,
1809,7.08,8.258,8.297,
1810,6.92,8.174333333,8.141,
1811,6.86,8.133,7.968,
1812,7.05,8.104666667,7.815,
1813,7.74,8.106666667,7.739,
1814,7.59,8.097666667,7.614,
1815,7.24,8.093666667,7.482,
1816,6.94,8.049666667,7.333,
1817,6.98,8.014666667,7.203,
1818,7.83,7.994,7.223,
1819,7.37,7.962,7.252,
1820,7.62,7.95,7.322,
1821,8.09,7.945333333,7.445,
1822,8.19,7.948666667,7.559,
1823,7.72,7.931666667,7.557,
1824,8.55,7.932333333,7.653,
1825,8.39,7.933666667,7.768,
1826,8.36,7.936666667,7.91,
1827,8.81,7.946666667,8.093,
1828,8.17,7.93,8.127,
1829,7.94,7.911,8.184,8.0775
1830,8.52,7.912333333,8.274,8.075
1831,7.64,7.880666667,8.229,8.07075
1832,7.45,7.843,8.155,8.091625
1833,8.01,7.826666667,8.184,8.086875
1834,8.15,7.803666667,8.144,8.082875
1835,7.39,7.764666667,8.044,8.07075
1836,7.7,7.740333333,7.978,8.056375
1837,7.38,7.710333333,7.835,8.035875
1838,7.51,7.706333333,7.769,8.0455
1839,7.63,7.724666667,7.738,8.041
1840,7.8,7.754,7.666,8.048625
1841,7.69,7.781666667,7.671,8.035125
1842,8.02,7.814,7.728,8.02775
1843,8.17,7.828333333,7.744,8.036125
1844,7.65,7.830333333,7.694,8.02675
1845,7.85,7.850666667,7.74,8.02175
1846,8.55,7.904333333,7.825,8.0235
1847,8.09,7.941333333,7.896,8.021875
1848,7.98,7.946333333,7.943,8.036875
1849,7.98,7.966666667,7.978,8.0405
1850,7.9,7.976,7.988,8.043125
1851,8.18,7.979,8.037,8.04725
1852,8.1,7.976,8.045,8.046125
1853,8.04,7.986666667,8.032,8.043875
1854,8.21,7.975333333,8.088,8.036875
1855,8.11,7.966,8.114,8.0235
1856,8,7.954,8.059,8.01975
1857,7.76,7.919,8.026,8.0135
1858,8.1,7.916666667,8.038,8.008
1859,8.25,7.927,8.065,7.998875
1860,7.96,7.908333333,8.071,7.9805
1861,7.85,7.915333333,8.038,7.977375
1862,7.56,7.919,7.984,7.973125
1863,8.11,7.922333333,7.991,7.9785
1864,7.98,7.916666667,7.968,7.98
1865,8.18,7.943,7.975,7.99025
1866,8.29,7.962666667,8.004,7.990625
1867,8.44,7.998,8.072,7.99575
1868,8.25,8.022666667,8.087,7.99325
1869,8.43,8.049333333,8.105,7.9945
1870,8.2,8.062666667,8.129,7.99725
1871,8.12,8.077,8.156,7.995875
1872,8.19,8.082666667,8.219,7.997125
1873,8.35,8.088666667,8.243,7.998625
1874,8.43,8.114666667,8.288,7.997375
1875,7.86,8.115,8.256,7.99125
1876,8.08,8.099333333,8.235,7.988875
1877,8.54,8.114333333,8.245,7.98925
1878,8.83,8.142666667,8.303,7.99125
1879,8.17,8.149,8.277,7.987
1880,8.12,8.156333333,8.269,7.9825
1881,8.27,8.159333333,8.284,7.9785
1882,8.13,8.160333333,8.278,7.972875
1883,7.98,8.158333333,8.241,7.966375
1884,7.77,8.143666667,8.175,7.953
1885,7.92,8.137333333,8.181,7.945
1886,7.95,8.135666667,8.168,7.939
1887,7.91,8.140666667,8.105,7.934375
1888,8.09,8.140333333,8.031,7.940125
1889,8.32,8.142666667,8.046,7.955625
1890,7.97,8.143,8.031,7.96875
1891,8.02,8.148666667,8.006,7.98325
1892,8.07,8.165666667,8,7.996
1893,8.06,8.164,8.008,8
1894,8.16,8.17,8.047,8.007125
1895,8.15,8.169,8.07,8.0185
1896,8.21,8.166333333,8.096,8.034375
1897,8.29,8.161333333,8.134,8.05075
1898,8.18,8.159,8.143,8.055125
1899,8.4,8.158,8.151,8.068
1900,8.5,8.168,8.204,8.079
1901,8.54,8.182,8.256,8.084625
1902,8.3,8.185666667,8.279,8.086
1903,8.22,8.181333333,8.295,8.09225
1904,8.09,8.17,8.288,8.0865
1905,8.23,8.182333333,8.296,8.0845
1906,8.38,8.192333333,8.313,8.08475
1907,7.95,8.172666667,8.279,8.074
1908,8.19,8.151333333,8.28,8.07425
1909,8.18,8.151666667,8.258,8.07725
1910,8.22,8.155,8.23,8.0735
1911,8.18,8.152,8.194,8.08025
1912,8.17,8.153333333,8.181,8.08925
1913,8.3,8.164,8.189,8.092875
1914,8.59,8.191333333,8.239,8.098375
1915,8.59,8.213666667,8.275,8.113375
1916,8.23,8.223,8.26,8.12
1917,8.02,8.226666667,8.267,8.128
1918,8.13,8.228,8.261,8.13575
1919,8.38,8.23,8.281,8.145125
1920,8.36,8.243,8.295,8.152125
1921,8.57,8.261333333,8.334,8.163125
1922,8.41,8.272666667,8.358,8.168
1923,8.42,8.284666667,8.37,8.171125
1924,8.51,8.296333333,8.362,8.181875
1925,8.53,8.309,8.356,8.190375
1926,8.73,8.326333333,8.406,8.192625
1927,8.52,8.334,8.456,8.198
1928,8.63,8.349,8.506,8.206125
1929,8.24,8.343666667,8.492,8.209375
1930,8.63,8.348,8.519,8.2185
1931,8.72,8.354,8.534,8.22525
1932,8.71,8.367666667,8.564,8.232875
1933,8.34,8.371666667,8.556,8.236625
1934,8.63,8.389666667,8.568,8.241875
1935,8.52,8.399333333,8.567,8.247
1936,8.55,8.405,8.549,8.253875
1937,8.7,8.43,8.567,8.265625
1938,8.86,8.452333333,8.59,8.275125
1939,8.76,8.471666667,8.642,8.2815
1940,8.76,8.489666667,8.655,8.2915
1941,8.77,8.509333333,8.66,8.303
1942,8.73,8.528,8.662,8.317625
1943,8.76,8.543333333,8.704,8.32575
1944,8.85,8.552,8.726,8.336625
1945,8.58,8.551666667,8.732,8.341625
1946,8.68,8.566666667,8.745,8.3465
1947,8.8,8.592666667,8.755,8.351
1948,8.75,8.613333333,8.744,8.35725
1949,8.59,8.620333333,8.727,8.35925
1950,8.37,8.620666667,8.688,8.361375
1951,8.63,8.622666667,8.674,8.36775
1952,8.64,8.630333333,8.665,8.373375
1953,8.87,8.645333333,8.676,8.379875
1954,8.56,8.647,8.647,8.3815
1955,8.63,8.650333333,8.652,8.391125
1956,8.28,8.635333333,8.612,8.393625
1957,8.73,8.642333333,8.605,8.396
1958,8.77,8.647,8.607,8.39525
1959,8.73,8.663333333,8.621,8.40225
1960,8.58,8.661666667,8.642,8.408
1961,8.8,8.664333333,8.659,8.414625
1962,8.75,8.665666667,8.67,8.422375
1963,8.86,8.683,8.669,8.433375
1964,8.41,8.675666667,8.654,8.441375
1965,8.53,8.676,8.644,8.449
1966,8.6,8.677666667,8.676,8.457125
1967,8.7,8.677666667,8.673,8.467
1968,8.52,8.666333333,8.648,8.472375
1969,8.6,8.661,8.635,8.475875
1970,8.7,8.659,8.647,8.485
1971,8.6,8.653333333,8.627,8.49225
1972,8.5,8.645666667,8.602,8.497625
1973,8.95,8.652,8.611,8.50875
1974,8.47,8.639333333,8.617,8.512625
1975,8.74,8.644666667,8.638,8.52
1976,8.35,8.633666667,8.613,8.52175
1977,8.85,8.635333333,8.628,8.52875
1978,8.69,8.633333333,8.645,8.535125
1979,8.73,8.638,8.658,8.53925
1980,8.98,8.658333333,8.686,8.54525
1981,9.17,8.676333333,8.743,8.553125
1982,8.64,8.676333333,8.757,8.557375
1983,9.03,8.681666667,8.765,8.5675
1984,8.69,8.686,8.787,8.575
1985,8.66,8.687,8.779,8.580375
1986,8.83,8.705333333,8.827,8.586
1987,8.99,8.714,8.841,8.599
1988,9.2,8.728333333,8.892,8.611625
1989,8.92,8.734666667,8.911,8.620875
1990,9.23,8.756333333,8.936,8.6335
1991,9.18,8.769,8.937,8.646
1992,8.84,8.772,8.957,8.654375
1993,8.87,8.772333333,8.941,8.6615
1994,9.04,8.793333333,8.976,8.667125
1995,9.35,8.820666667,9.045,8.676625
1996,9.04,8.835333333,9.066,8.68675
1997,9.2,8.852,9.087,8.7015
1998,9.52,8.885333333,9.119,8.718875
1999,9.29,8.908333333,9.156,8.73025
2000,9.2,8.925,9.153,8.74075
2001,9.41,8.952,9.176,8.75125
2002,9.57,8.987666667,9.249,8.76575
2003,9.53,9.007,9.315,8.779625
2004,9.32,9.035333333,9.343,8.78975
2005,9.7,9.067333333,9.378,8.804375
2006,9.53,9.106666667,9.427,8.814375
2007,9.73,9.136,9.48,8.8295
2008,9.43,9.160666667,9.471,8.8395
2009,9.51,9.186666667,9.493,8.855375
2010,9.7,9.210666667,9.543,8.86875
2011,9.52,9.222333333,9.554,8.87875
2012,9.51,9.251333333,9.548,8.88875
2013,9.61,9.270666667,9.556,8.904625
2014,9.57,9.3,9.581,8.916375
2015,9.83,9.339,9.594,8.93275
